time,pickers_busy,available_pickers,queue_length,queue_full,picker_utilization,system_pressure,over_capacity_pressure
692.0,8,0,1,False,1.0,9,True
693.0,8,0,1,False,1.0,9,True
694.0,8,0,2,False,1.0,10,True
695.0,8,0,2,False,1.0,10,True
696.0,8,0,2,False,1.0,10,True
697.0,8,0,5,True,1.0,13,True
698.0,8,0,1,False,1.0,9,True
699.0,8,0,3,False,1.0,11,True
700.0,8,0,1,False,1.0,9,True
701.0,8,0,1,False,1.0,9,True
702.0,8,0,4,False,1.0,12,True
703.0,8,0,2,False,1.0,10,True
704.0,8,0,4,False,1.0,12,True
705.0,8,0,2,False,1.0,10,True
706.0,8,0,2,False,1.0,10,True
707.0,6,2,0,False,0.75,6,False
708.0,8,0,0,False,1.0,8,False
709.0,8,0,2,False,1.0,10,True
710.0,8,0,1,False,1.0,9,True
711.0,8,0,3,False,1.0,11,True
712.0,8,0,1,False,1.0,9,True
713.0,5,3,0,False,0.625,5,False
714.0,8,0,0,False,1.0,8,False
715.0,8,0,1,False,1.0,9,True
716.0,8,0,2,False,1.0,10,True
717.0,8,0,2,False,1.0,10,True
718.0,8,0,4,False,1.0,12,True
719.0,8,0,3,False,1.0,11,True
720.0,8,0,0,False,1.0,8,False
