time,pickers_busy,available_pickers,queue_length,queue_full,picker_utilization,system_pressure,over_capacity_pressure
157.0,8,0,2,False,1.0,10,True
158.0,8,0,3,False,1.0,11,True
159.0,6,2,0,False,0.75,6,False
160.0,8,0,2,False,1.0,10,True
161.0,8,0,1,False,1.0,9,True
162.0,8,0,4,False,1.0,12,True
163.0,8,0,4,False,1.0,12,True
164.0,8,0,1,False,1.0,9,True
165.0,8,0,2,False,1.0,10,True
166.0,8,0,2,False,1.0,10,True
167.0,8,0,0,False,1.0,8,False
168.0,7,1,0,False,0.875,7,False
169.0,8,0,2,False,1.0,10,True
170.0,8,0,3,False,1.0,11,True
171.0,8,0,2,False,1.0,10,True
172.0,8,0,2,False,1.0,10,True
173.0,8,0,3,False,1.0,11,True
174.0,8,0,1,False,1.0,9,True
175.0,7,1,0,False,0.875,7,False
176.0,7,1,0,False,0.875,7,False
177.0,8,0,2,False,1.0,10,True
178.0,8,0,1,False,1.0,9,True
179.0,8,0,0,False,1.0,8,False
180.0,8,0,1,False,1.0,9,True
181.0,4,4,0,False,0.5,4,False
182.0,6,2,0,False,0.75,6,False
183.0,8,0,2,False,1.0,10,True
184.0,8,0,3,False,1.0,11,True
185.0,8,0,1,False,1.0,9,True
186.0,8,0,2,False,1.0,10,True
187.0,8,0,1,False,1.0,9,True
188.0,8,0,0,False,1.0,8,False
189.0,7,1,0,False,0.875,7,False
190.0,8,0,1,False,1.0,9,True
191.0,8,0,2,False,1.0,10,True
192.0,8,0,1,False,1.0,9,True
193.0,8,0,2,False,1.0,10,True
194.0,8,0,2,False,1.0,10,True
195.0,8,0,3,False,1.0,11,True
196.0,8,0,0,False,1.0,8,False
197.0,8,0,4,False,1.0,12,True
198.0,7,1,0,False,0.875,7,False
199.0,8,0,0,False,1.0,8,False
200.0,6,2,0,False,0.75,6,False
201.0,8,0,1,False,1.0,9,True
202.0,8,0,1,False,1.0,9,True
203.0,7,1,0,False,0.875,7,False
204.0,7,1,0,False,0.875,7,False
205.0,8,0,2,False,1.0,10,True
206.0,8,0,1,False,1.0,9,True
207.0,8,0,0,False,1.0,8,False
208.0,8,0,3,False,1.0,11,True
209.0,8,0,2,False,1.0,10,True
210.0,8,0,3,False,1.0,11,True
211.0,8,0,3,False,1.0,11,True
212.0,8,0,2,False,1.0,10,True
213.0,8,0,0,False,1.0,8,False
214.0,8,0,3,False,1.0,11,True
215.0,8,0,4,False,1.0,12,True
216.0,8,0,1,False,1.0,9,True
217.0,8,0,4,False,1.0,12,True
218.0,8,0,2,False,1.0,10,True
219.0,8,0,1,False,1.0,9,True
220.0,8,0,1,False,1.0,9,True
221.0,7,1,0,False,0.875,7,False
222.0,8,0,1,False,1.0,9,True
223.0,8,0,3,False,1.0,11,True
224.0,8,0,4,False,1.0,12,True
225.0,8,0,1,False,1.0,9,True
226.0,8,0,0,False,1.0,8,False
227.0,8,0,3,False,1.0,11,True
228.0,8,0,3,False,1.0,11,True
229.0,7,1,0,False,0.875,7,False
230.0,7,1,0,False,0.875,7,False
231.0,8,0,1,False,1.0,9,True
232.0,8,0,1,False,1.0,9,True
233.0,8,0,3,False,1.0,11,True
234.0,8,0,3,False,1.0,11,True
235.0,8,0,2,False,1.0,10,True
236.0,8,0,4,False,1.0,12,True
237.0,8,0,2,False,1.0,10,True
238.0,8,0,1,False,1.0,9,True
239.0,8,0,2,False,1.0,10,True
240.0,7,1,0,False,0.875,7,False
241.0,8,0,0,False,1.0,8,False
242.0,8,0,2,False,1.0,10,True
243.0,8,0,1,False,1.0,9,True
244.0,8,0,3,False,1.0,11,True
245.0,8,0,2,False,1.0,10,True
246.0,7,1,0,False,0.875,7,False
247.0,8,0,0,False,1.0,8,False
248.0,8,0,1,False,1.0,9,True
249.0,8,0,4,False,1.0,12,True
250.0,8,0,2,False,1.0,10,True
251.0,8,0,3,False,1.0,11,True
252.0,8,0,2,False,1.0,10,True
253.0,8,0,2,False,1.0,10,True
254.0,8,0,4,False,1.0,12,True
255.0,8,0,2,False,1.0,10,True
256.0,8,0,4,False,1.0,12,True
257.0,8,0,4,False,1.0,12,True
258.0,8,0,3,False,1.0,11,True
259.0,8,0,0,False,1.0,8,False
260.0,8,0,4,False,1.0,12,True
261.0,8,0,3,False,1.0,11,True
262.0,8,0,3,False,1.0,11,True
263.0,8,0,3,False,1.0,11,True
264.0,8,0,2,False,1.0,10,True
265.0,8,0,3,False,1.0,11,True
266.0,8,0,5,True,1.0,13,True
267.0,8,0,1,False,1.0,9,True
268.0,8,0,1,False,1.0,9,True
269.0,7,1,0,False,0.875,7,False
270.0,8,0,1,False,1.0,9,True
271.0,8,0,2,False,1.0,10,True
272.0,8,0,2,False,1.0,10,True
273.0,8,0,1,False,1.0,9,True
274.0,8,0,4,False,1.0,12,True
275.0,8,0,3,False,1.0,11,True
276.0,8,0,1,False,1.0,9,True
277.0,8,0,2,False,1.0,10,True
278.0,8,0,3,False,1.0,11,True
279.0,8,0,3,False,1.0,11,True
280.0,8,0,3,False,1.0,11,True
281.0,8,0,1,False,1.0,9,True
282.0,8,0,2,False,1.0,10,True
283.0,8,0,3,False,1.0,11,True
284.0,8,0,3,False,1.0,11,True
285.0,8,0,3,False,1.0,11,True
286.0,8,0,3,False,1.0,11,True
287.0,8,0,1,False,1.0,9,True
288.0,8,0,4,False,1.0,12,True
289.0,8,0,3,False,1.0,11,True
290.0,8,0,2,False,1.0,10,True
291.0,8,0,1,False,1.0,9,True
292.0,8,0,3,False,1.0,11,True
293.0,8,0,3,False,1.0,11,True
294.0,8,0,3,False,1.0,11,True
295.0,8,0,5,True,1.0,13,True
296.0,8,0,4,False,1.0,12,True
297.0,8,0,4,False,1.0,12,True
298.0,7,1,0,False,0.875,7,False
299.0,8,0,0,False,1.0,8,False
300.0,8,0,1,False,1.0,9,True
301.0,8,0,2,False,1.0,10,True
302.0,8,0,1,False,1.0,9,True
303.0,8,0,1,False,1.0,9,True
304.0,7,1,0,False,0.875,7,False
305.0,8,0,1,False,1.0,9,True
306.0,7,1,0,False,0.875,7,False
307.0,8,0,2,False,1.0,10,True
308.0,8,0,3,False,1.0,11,True
309.0,8,0,3,False,1.0,11,True
310.0,8,0,3,False,1.0,11,True
311.0,8,0,2,False,1.0,10,True
312.0,8,0,4,False,1.0,12,True
313.0,8,0,1,False,1.0,9,True
314.0,8,0,2,False,1.0,10,True
315.0,8,0,5,True,1.0,13,True
316.0,8,0,1,False,1.0,9,True
317.0,8,0,1,False,1.0,9,True
318.0,8,0,2,False,1.0,10,True
319.0,8,0,3,False,1.0,11,True
320.0,8,0,3,False,1.0,11,True
321.0,8,0,3,False,1.0,11,True
322.0,8,0,2,False,1.0,10,True
323.0,8,0,4,False,1.0,12,True
324.0,8,0,2,False,1.0,10,True
325.0,8,0,3,False,1.0,11,True
326.0,8,0,2,False,1.0,10,True
327.0,8,0,1,False,1.0,9,True
328.0,8,0,3,False,1.0,11,True
329.0,8,0,1,False,1.0,9,True
330.0,8,0,1,False,1.0,9,True
331.0,8,0,2,False,1.0,10,True
332.0,6,2,0,False,0.75,6,False
333.0,8,0,2,False,1.0,10,True
334.0,8,0,2,False,1.0,10,True
335.0,8,0,2,False,1.0,10,True
336.0,8,0,0,False,1.0,8,False
337.0,8,0,3,False,1.0,11,True
338.0,8,0,3,False,1.0,11,True
339.0,8,0,2,False,1.0,10,True
340.0,8,0,1,False,1.0,9,True
341.0,8,0,3,False,1.0,11,True
342.0,8,0,0,False,1.0,8,False
343.0,8,0,4,False,1.0,12,True
344.0,8,0,2,False,1.0,10,True
345.0,8,0,5,True,1.0,13,True
346.0,8,0,3,False,1.0,11,True
347.0,8,0,2,False,1.0,10,True
348.0,8,0,3,False,1.0,11,True
349.0,8,0,3,False,1.0,11,True
350.0,8,0,2,False,1.0,10,True
351.0,8,0,4,False,1.0,12,True
352.0,8,0,1,False,1.0,9,True
353.0,8,0,1,False,1.0,9,True
354.0,8,0,0,False,1.0,8,False
355.0,8,0,4,False,1.0,12,True
356.0,8,0,2,False,1.0,10,True
357.0,8,0,0,False,1.0,8,False
358.0,6,2,0,False,0.75,6,False
359.0,8,0,1,False,1.0,9,True
360.0,8,0,5,True,1.0,13,True
361.0,8,0,3,False,1.0,11,True
362.0,8,0,4,False,1.0,12,True
363.0,8,0,3,False,1.0,11,True
364.0,8,0,1,False,1.0,9,True
365.0,8,0,0,False,1.0,8,False
366.0,8,0,1,False,1.0,9,True
367.0,8,0,3,False,1.0,11,True
368.0,8,0,1,False,1.0,9,True
369.0,8,0,3,False,1.0,11,True
370.0,8,0,4,False,1.0,12,True
371.0,8,0,3,False,1.0,11,True
372.0,8,0,3,False,1.0,11,True
373.0,8,0,0,False,1.0,8,False
374.0,8,0,1,False,1.0,9,True
375.0,7,1,0,False,0.875,7,False
376.0,8,0,2,False,1.0,10,True
377.0,8,0,0,False,1.0,8,False
378.0,8,0,2,False,1.0,10,True
379.0,8,0,2,False,1.0,10,True
380.0,8,0,0,False,1.0,8,False
381.0,8,0,0,False,1.0,8,False
382.0,8,0,2,False,1.0,10,True
383.0,5,3,0,False,0.625,5,False
384.0,7,1,0,False,0.875,7,False
385.0,8,0,1,False,1.0,9,True
386.0,8,0,0,False,1.0,8,False
387.0,8,0,0,False,1.0,8,False
388.0,8,0,1,False,1.0,9,True
389.0,8,0,1,False,1.0,9,True
390.0,8,0,1,False,1.0,9,True
391.0,8,0,3,False,1.0,11,True
392.0,8,0,2,False,1.0,10,True
393.0,8,0,5,True,1.0,13,True
