order_id,arrival_time,customer_tier,order_type,item_count,urgency_score,priority_level,verification_time,pick_duration,had_error,redo_duration,queue_entry_time,wait_to_picker,picker_id,assignment_time,completion_time,total_fulfillment_time,status,exception_reason,in_queue
1,0.0,regular,Bulky,8,2.2800000000000002,low,0.024324788381589014,1.1214687700253443,True,0.444597857784582,0.024324788381589014,0.0,0.0,0.024324788381589014,1.5903914161915151,1.5903914161915151,fulfilled,,False
2,0.10991896682823463,regular,Express,7,4.9399999999999995,medium,0.03227597409107484,0.2815813617619931,False,,0.14219494091930945,0.0,1.0,0.14219494091930945,0.42377630268130256,0.31385733585306796,fulfilled,,False
3,0.1958945880886182,prime,Bulky,5,3.66,medium,0.029891951494972764,0.9169743835866141,False,,0.22578653958359096,0.0,2.0,0.22578653958359096,1.1427609231702052,0.9468663350815869,fulfilled,,False
4,0.2962003102943225,regular,Bulky,2,1.44,low,0.03209338959341388,0.7028722836226458,False,,0.3282936998877364,0.0,3.0,0.3282936998877364,1.0311659835103821,0.7349656732160597,fulfilled,,False
5,0.36140762473489146,prime,Standard,3,4.08,medium,0.034555729232949056,0.6999387255794267,False,,0.39596335396784055,0.0,4.0,0.39596335396784055,1.0959020795472671,0.7344944548123757,fulfilled,,False
6,0.47325185672296577,regular,Bulky,3,1.5799999999999998,low,0.024819560263253805,0.8505683442615443,False,,0.4980714169862196,0.0,5.0,0.4980714169862196,1.3486397612477639,0.8753879045247981,fulfilled,,False
7,0.5844473815159337,regular,Express,5,4.659999999999999,medium,0.04330049343026894,0.395263040513909,False,,0.6277478749462027,0.0,6.0,0.6277478749462027,1.0230109154601117,0.438563533944178,fulfilled,,False
8,0.6742275795791162,regular,Fragile,5,3.26,medium,0.033780076486562116,0.8670856071049505,False,,0.7080076560656783,0.0,7.0,0.7080076560656783,1.5750932631706287,0.9008656835915125,fulfilled,,False
9,0.7309685543281087,prime,Standard,5,4.359999999999999,medium,0.027802923432116697,0.6620991081507057,False,,0.7587714777602254,0.0,1.0,0.7587714777602254,1.4208705859109312,0.6899020315828225,fulfilled,,False
10,0.8343614455899933,regular,Bulky,7,2.14,low,0.024437661073548698,0.908660172798069,False,,0.858799106663542,0.1642118087965697,6.0,1.0230109154601117,1.9316710882581807,1.0973096426681874,fulfilled,,False
11,0.9365390487371499,regular,Bulky,7,2.14,low,0.025748487770604057,1.3129001811545273,False,,0.9622875365077539,0.06887844700262824,3.0,1.0311659835103821,2.3440661646649095,1.4075271159277596,fulfilled,,False
12,1.0376808984052217,prime,Express,4,6.319999999999999,high,0.02822145165841155,0.3213697937000354,False,,1.0659023500636333,0.02999972948363383,4.0,1.0959020795472671,1.4172718732473024,0.3795909748420807,fulfilled,,False
13,1.0911064081214117,regular,Express,6,4.799999999999999,medium,0.045067076495008226,0.4401928697771514,False,,1.13617348461642,0.006587438553785185,2.0,1.1427609231702052,1.5829537929473565,0.4918473848259448,fulfilled,,False
14,1.1610190777632843,prime,Bulky,4,3.5199999999999996,medium,0.03768506186252145,0.7203757850983,True,0.28648613461796846,1.1987041396258058,0.14993562162195806,5.0,1.3486397612477639,2.355501680964032,1.1944826032007478,fulfilled,,False
15,1.215488518412886,regular,Express,8,5.079999999999999,high,0.044804759886701635,0.34808041763751013,False,,1.2602932782995877,0.1569785949477147,4.0,1.4172718732473024,1.7653522908848125,0.5498637724719264,fulfilled,,False
16,1.321619734415483,regular,Express,2,4.239999999999999,medium,0.04305550996688763,0.18128210163902844,False,,1.3646752443823706,0.05619534152856054,1.0,1.4208705859109312,1.6021526875499597,0.2805329531344767,fulfilled,,False
17,1.3873202189719336,prime,Express,2,6.039999999999999,high,0.031254409894899256,0.2702337655702995,False,,1.4185746288668328,0.15651863430379587,7.0,1.5750932631706287,1.8453270287409282,0.45800680976899466,fulfilled,,False
18,1.4593245089653515,regular,Fragile,4,3.12,medium,0.023177637101219735,0.7208326441716549,False,,1.4825021460665713,0.10045164688078523,2.0,1.5829537929473565,2.3037864371190113,0.8444619281536598,fulfilled,,False
19,1.550314105727545,regular,Standard,6,2.6999999999999997,low,0.03961598033205183,0.6198712366442596,False,,1.5899300860595968,0.00046133013191829164,0.0,1.5903914161915151,2.210262652835775,0.65994854710823,fulfilled,,False
20,1.6291877106541892,regular,Standard,3,2.28,low,0.02219570217172898,0.6226015058374869,False,,1.6513834128259182,0.0,1.0,1.6513834128259182,2.273984918663405,0.6447972080092157,fulfilled,,False
21,1.6976558977939935,regular,Bulky,2,1.44,low,0.03128715504284283,0.7623674308671667,False,,1.7289430528368364,0.036409238047976134,4.0,1.7653522908848125,2.5277197217519793,0.8300638239579858,fulfilled,,False
22,1.7759111814710413,regular,Express,7,4.9399999999999995,medium,0.04179420830937111,0.36005182431036087,False,,1.8177053897804125,0.027621638960515726,7.0,1.8453270287409282,2.2053788530512892,0.4294676715802479,fulfilled,,False
23,1.850811617281555,regular,Standard,2,2.14,low,0.028514194668323934,0.5686534400995399,False,,1.8793258119498788,0.05234527630830188,6.0,1.9316710882581807,2.5003245283577207,0.6495129110761657,fulfilled,,False
24,1.922659651017693,regular,Bulky,5,1.8599999999999999,low,0.04915069926859264,0.9557640437289819,True,0.32243534958313674,1.9718103502862856,0.23356850276500363,7.0,2.2053788530512892,3.483578246363408,1.560918595345715,failed,picking_error_unresolved,False
25,2.0221394991131167,regular,Express,8,5.079999999999999,high,0.040688904663412434,0.46187446786834174,False,,2.062828403776529,0.14743424905924574,0.0,2.210262652835775,2.6721371207041167,0.6499976215909999,fulfilled,,False
26,2.105160884957329,regular,Express,2,4.239999999999999,medium,0.03518194767588119,0.2955381022648286,False,,2.14034283263321,0.133642086030195,1.0,2.273984918663405,2.5695230209282336,0.4643621359709047,fulfilled,,False
27,2.2052660025131465,regular,Bulky,7,2.14,low,0.03576888569486762,1.4269589261106497,False,,2.241034888208014,0.0627515489109971,2.0,2.3037864371190113,3.730745363229661,1.5254793607165147,fulfilled,,False
28,2.2672088839153894,regular,Bulky,6,2.0,low,0.02563474227696405,1.2943292036767973,True,0.48813240329650276,2.2928436261923535,0.05122253847255598,3.0,2.3440661646649095,4.12652777163821,1.8593188877228202,fulfilled,,False
29,2.3437583904761445,regular,Bulky,6,2.0,low,0.03564575366397253,1.3616610604687966,True,0.6708037257086357,2.3794041441401172,0.0,5.0,2.3794041441401172,4.411868930317549,2.068110539841405,fulfilled,,False
30,2.41529648242068,prime,Bulky,3,3.38,medium,0.0392454076851681,0.7770790316006919,False,,2.454541890105848,0.045782638251872676,6.0,2.5003245283577207,3.2774035599584126,0.8621070775377326,fulfilled,,False
31,2.4911553747782653,regular,Fragile,5,3.26,medium,0.020501684649061314,0.8087891412388905,True,0.2709177592825188,2.5116570594273266,0.0160626623246527,4.0,2.5277197217519793,3.6074266222733886,1.1162712474951233,fulfilled,,False
32,2.573769668374869,prime,Express,1,5.9,high,0.02910526779798532,0.21247833404093813,False,,2.6028749361728547,0.0,1.0,2.6028749361728547,2.8153532702137927,0.24158360183892347,fulfilled,,False
33,2.6867112213143054,regular,Standard,7,2.84,low,0.03890953266330435,0.8336964198657383,False,,2.72562075397761,0.0,0.0,2.72562075397761,3.5593171738433482,0.8726059525290428,fulfilled,,False
34,2.761473032737776,regular,Standard,4,2.42,low,0.03115563709610318,0.5440870731055678,False,,2.792628669833879,0.02272460037991353,1.0,2.8153532702137927,3.3594403433193607,0.5979673105815846,fulfilled,,False
