comparison,fulfillment_rate,exception_rate,avg_waiting_time,avg_picker_utilization,peak_queue_length,pct_time_queue_full,pct_time_under_pressure,avg_fulfillment_time,exception_rate_low,exception_rate_medium,exception_rate_high
Combined vs. Base,combined better by 8.3pp,combined better by 8.3pp,combined better by 0.10h,base better by 5.3pp,-,-,combined better by 38.7pp,combined better by 0.12h,-,combined better by 9.0pp,combined better by 35.3pp
Combined vs. Capacity-alone,-,-,-,-,-,-,-,-,-,-,combined better by 8.0pp
Combined vs. Priority-alone,combined better by 5.9pp,combined better by 5.9pp,-,-,-,-,combined better by 31.8pp,-,combined better by 9.8pp,-,-
Priority vs. Base,-,-,-,-,-,-,priority better by 6.9pp,-,base better by 10.9pp,priority better by 6.2pp,priority better by 31.3pp
