metric,8,9,10,11,12,14
fulfillment_rate,0.8827577550464725,0.9596281403403923,0.978881003015627,0.98121907226775,0.9816967399656956,0.9814828494276867
exception_rate,0.11724224495352781,0.04037185965960767,0.021118996984372994,0.018780927732250204,0.018303260034304412,0.018517150572313488
avg_waiting_time,0.1556033857275618,0.06608996810283906,0.018319714595916706,0.004308943788488207,0.0008012018409852352,1.2045464752410294e-05
avg_picker_utilization,0.9853502080443828,0.9361278060307185,0.8559408229311142,0.7798596225780692,0.713908152257667,0.6124727560927283
peak_queue_length,5.0,4.933333333333334,4.166666666666667,3.0,1.6666666666666667,0.06666666666666667
pct_time_queue_full,0.034905224225612576,0.00517799352750809,0.00046232085067036526,4.6232085067036525e-05,0.0,0.0
pct_time_under_pressure,0.8064724919093851,0.4495607951918632,0.153166897827092,0.04123901987979658,0.007998150716597317,9.246417013407305e-05
avg_fulfillment_time,0.9131138677624542,0.8108327262285295,0.7598977083758195,0.7454649136631613,0.7416511953484934,0.7412111715687977
exception_rate_low,0.031244959621305943,0.01947706441293569,0.01824408365663765,0.01832050636064074,0.017637526899809828,0.017920937688637208
exception_rate_medium,0.11415776803294704,0.035097696257669904,0.019923690908089674,0.018270511660116093,0.018576486688131343,0.018732603584905614
exception_rate_high,0.3917869245441688,0.12181547129277424,0.03392229820313086,0.021938202160324292,0.019438812780761774,0.01966939397187744
