fulfillment_rate,exception_rate,avg_waiting_time,avg_picker_utilization,peak_queue_length,pct_time_queue_full,pct_time_under_pressure,avg_fulfillment_time,exception_rate_low,exception_rate_medium,exception_rate_high,replication,seed,scenario
0.9623469623469624,0.037653037653037624,0.05560255599950048,0.930960086299892,5.0,0.004160887656033287,0.42995839112343964,0.7963905267755695,0.03881341835320211,0.031047865459249677,0.05564924114671164,0,2603506294,combined
0.9651483781918565,0.034851621808143496,0.05501638078542971,0.9272615194945294,5.0,0.006934812760055479,0.40499306518723993,0.7918373697115463,0.04379157427937916,0.025190839694656488,0.039792387543252594,1,738324617,combined
0.9647045297769602,0.035295470223039804,0.05549913080271674,0.9426722145168748,5.0,0.0027739251040221915,0.42441054091539526,0.8006104241304379,0.041220115416323165,0.026614987080103358,0.045416316232127836,2,3441694954,combined
0.9664390695521352,0.03356093044786479,0.047984137088399444,0.9255663430420711,5.0,0.0013869625520110957,0.3855755894590846,0.7830077455910591,0.042217844075429216,0.02485267742761978,0.036286919831223625,3,3712042861,combined
0.9613788332949044,0.03862116670509563,0.056885826649483134,0.9377407921097242,5.0,0.004160887656033287,0.43828016643550627,0.7988068488880316,0.048409029099809625,0.026991614255765198,0.04572396274343776,4,2162483789,combined
0.9622576177285319,0.03774238227146809,0.056193521816094265,0.9380490060101709,5.0,0.0027739251040221915,0.4368932038834951,0.7988749264692797,0.04517396184062851,0.028216412114936577,0.046079223928860144,5,3198602491,combined
0.9617158671586716,0.03828413284132837,0.051197308755886156,0.9326552627523503,5.0,0.004160887656033287,0.40499306518723993,0.7878923891151064,0.04540389972144847,0.030596634370219276,0.04224137931034483,6,1663892930,combined
0.9642609299097848,0.03573907009021515,0.05217909499279281,0.9337340114039142,5.0,0.0013869625520110957,0.43966712898751736,0.793483452220289,0.04241573033707865,0.026589009875917953,0.04661389621811785,7,886705629,combined
0.9593083573487031,0.04069164265129688,0.05676913935652842,0.9386654338110649,5.0,0.0027739251040221915,0.44105409153952846,0.8017657640397109,0.05506117908787542,0.029198966408268735,0.034739454094292806,8,2005018590,combined
0.9634188427470378,0.03658115725296218,0.0547384903472065,0.9317306210510095,5.0,0.0027739251040221915,0.420249653259362,0.7955279785650881,0.04435146443514645,0.027548918640576726,0.042483660130718956,9,3261688093,combined
0.9645031591039632,0.035496840896036774,0.053797850837573484,0.9338881183541379,5.0,0.004160887656033287,0.4188626907073509,0.7957514804641441,0.04308897593732513,0.026110971629425057,0.04442508710801394,10,1156160779,combined
0.965513264129181,0.03448673587081896,0.05470109476935347,0.9338881183541379,5.0,0.004160887656033287,0.44382801664355065,0.7928881983565244,0.041747843028110215,0.026496815286624203,0.0390625,11,1439861482,combined
0.9637622619734564,0.03623773802654362,0.05731491145761964,0.9346586531052551,5.0,0.0027739251040221915,0.44937586685159503,0.8042511363324354,0.044512877939529676,0.027686055372110743,0.039792387543252594,12,1387684029,combined
0.9568627450980393,0.04313725490196074,0.06082389147023901,0.9398982894128525,5.0,0.0013869625520110957,0.4521497919556172,0.8073757238308635,0.05674547983310153,0.028870720490546755,0.04909560723514212,13,227212866,combined
0.9660272706263,0.033972729373699995,0.05090788504033385,0.9277238403451996,5.0,0.0027739251040221915,0.3828016643550624,0.7846923062154785,0.044444444444444446,0.02681032322726134,0.026173285198555957,14,2267949776,combined
0.9634443541835905,0.036555645816409466,0.052370971462078045,0.9320388349514563,5.0,0.005547850208044383,0.42441054091539526,0.7982171268494004,0.04082774049217002,0.0314676296105236,0.040378006872852236,15,2273746922,combined
0.9666014050443396,0.03339859495566044,0.05399377491693375,0.9329634766527971,5.0,0.008321775312066574,0.4174757281553398,0.7932402795375026,0.03908171631593332,0.02717391304347826,0.03620689655172414,16,2622957931,combined
0.9617031123452505,0.03829688765474948,0.051708719897885835,0.9309600862998922,5.0,0.0027739251040221915,0.3841886269070735,0.7929095884346539,0.04390380313199105,0.02976190476190476,0.049044056525353284,17,3913639072,combined
0.9580492314804114,0.041950768519588566,0.05803064016184435,0.9340422253043612,5.0,0.004160887656033287,0.42995839112343964,0.8019118141519435,0.05482517482517483,0.0329417773237998,0.03270223752151463,18,1296113120,combined
0.9624077490774908,0.037592250922509174,0.05682046832180342,0.9340422253043612,5.0,0.005547850208044383,0.43411927877947293,0.8019120625206881,0.045730027548209366,0.028385416666666666,0.042429284525790346,19,3713592452,combined
0.959409594095941,0.040590405904059046,0.05947093638486747,0.9363538295577131,5.0,0.005547850208044383,0.4549237170596394,0.8038155309850629,0.05004124278251306,0.030596634370219276,0.044923629829290206,20,2552784728,combined
0.9603960396039604,0.03960396039603964,0.05532616251534363,0.931268300200339,5.0,0.0027739251040221915,0.4160887656033287,0.7950936292358325,0.047619047619047616,0.02953799545569301,0.04935064935064935,21,749348484,combined
0.9687933425797504,0.03120665742024964,0.048801100086630515,0.9255663430420711,5.0,0.0013869625520110957,0.3897364771151179,0.7832391280269045,0.03740436384244829,0.022836843440751077,0.04060913705583756,22,855836178,combined
0.9625619168298584,0.037438083170141634,0.05719044044329699,0.9377407921097243,5.0,0.009708737864077669,0.4563106796116505,0.7954184404598557,0.04525014052838673,0.02959777384265115,0.040170940170940174,23,2692317431,combined
0.9599263012436665,0.04007369875633349,0.05667461690705235,0.9382031129603947,5.0,0.008321775312066574,0.4521497919556172,0.8022517052133797,0.05048543689320388,0.029037187977585328,0.045099739809193407,24,4254136005,combined
0.9646476278212806,0.03535237217871945,0.05807904391933633,0.9315765141007859,5.0,0.004160887656033287,0.4549237170596394,0.8031917954087557,0.03912673660334562,0.029133466135458166,0.04557405784399649,25,3968060744,combined
0.9655610770830926,0.03443892291690742,0.052979339211581426,0.9320388349514563,5.0,0.0013869625520110957,0.43134535367545074,0.7946837618002731,0.04427227448810182,0.025601638504864313,0.03353927625772286,26,3972921740,combined
0.9644511347846225,0.03554886521537748,0.0524738509846254,0.9304977654492218,5.0,0.0027739251040221915,0.40360610263522884,0.7934573095937822,0.04045441950678858,0.027870967741935485,0.04600694444444445,27,3362386027,combined
0.9642692485016137,0.03573075149838634,0.05364348302432636,0.9304977654492218,5.0,0.006934812760055479,0.391123439667129,0.7948196377077978,0.04120054570259209,0.02968508002065049,0.03869832893579595,28,3857642715,combined
0.9618673445805408,0.038132655419459205,0.05741291943854899,0.9326552627523501,5.0,0.008321775312066574,0.4368932038834951,0.7989362224953808,0.045069653100245834,0.03183229813664596,0.03720106288751107,29,1119728971,combined
